"Participant_ID","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","match","association","difficulty","dot_color_after"
12,"女",24,"右","都不是","match_RDK","1414","j",1,0,"no","other","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1133","f",1,0,"yes","other","","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1118","j",1,0,"no","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1103","f",1,0,"yes","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","954","f",1,0,"yes","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1158","j",1,0,"no","other","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1068","j",1,0,"no","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1110","f",1,0,"yes","other","","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1042","j",1,0,"no","other","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1049","f",1,0,"yes","other","","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","858","f",1,0,"yes","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","954","j",1,0,"no","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1154","f",1,0,"yes","other","","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","833","f",1,0,"yes","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1455","j",1,0,"no","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1619","j",1,0,"no","other","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1473","j",1,0,"no","other","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1047","j",1,0,"no","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","952","f",1,0,"yes","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1236","f",1,0,"yes","other","","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1411","f",1,0,"yes","other","","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1066","j",1,0,"no","other","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1434","j",1,0,"no","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1306","f",1,0,"yes","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
12,"女",24,"右","都不是","match_RDK","1021","f",1,0,"yes","self","","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]"
