"Participant_ID","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","match","association","difficulty","dot_color_after"
25,"女",20,"右","都不是","match_RDK","2342","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1622","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","-1","",0,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1439","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1365","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1231","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1452","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1266","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1485","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1678","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1965","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1867","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1040","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1412","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2042","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1750","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1280","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1354","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1299","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
