"Participant_ID","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","match","association","difficulty","dot_color_after"
2,"男",23,"右","都不是","match_RDK","1066","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","941","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","966","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","1103","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","1224","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","1230","f",0,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","1017","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","930","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","936","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","1173","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","815","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","797","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","957","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","803","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","1100","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","749","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","909","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","1161","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","1045","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","782","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","942","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","1049","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","1100","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","736","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","792","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","775","f",0,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","1821","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","775","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","1232","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","1204","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","961","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","786","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","953","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","782","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","834","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","2544","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","998","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","1056","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","981","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","892","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","875","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","934","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","828","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","1001","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","896","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","746","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","823","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","645","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","866","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","831","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","734","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","833","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","716","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","745","f",1,"0","yes","other","","white"
2,"男",23,"右","都不是","match_RDK","944","j",1,"180","no","other","","white"
2,"男",23,"右","都不是","match_RDK","851","j",1,"0","no","self","","white"
2,"男",23,"右","都不是","match_RDK","756","f",1,"180","yes","self","","white"
2,"男",23,"右","都不是","match_RDK","774","f",1,"0","yes","other","","white"
