"Participant_ID","Sex","Age","Handedness","part","rt","response","correct","coherent_direction","coherence","target_color_proportion","dot_color_final","coherent_direction.1"
5,"男",31,"左","motion_pract","1773","arrowleft",1,180,0.24,0,"[""white""]",180
5,"男",31,"左","motion_pract","1316","arrowright",1,0,0.24,0,"[""white""]",0
5,"男",31,"左","motion_pract","1248","arrowright",1,0,0.24,0,"[""white""]",0
5,"男",31,"左","motion_pract","1096","arrowleft",1,180,0.24,0,"[""white""]",180
5,"男",31,"左","motion_pract","1783","arrowleft",1,180,0.22,0,"[""white""]",180
5,"男",31,"左","motion_pract","809","arrowright",1,0,0.22,0,"[""white""]",0
5,"男",31,"左","motion_pract","815","arrowright",1,0,0.22,0,"[""white""]",0
5,"男",31,"左","motion_pract","1083","arrowleft",1,180,0.22,0,"[""white""]",180
5,"男",31,"左","motion_pract","838","arrowleft",1,180,0.2,0,"[""white""]",180
5,"男",31,"左","motion_pract","1260","arrowleft",1,180,0.2,0,"[""white""]",180
5,"男",31,"左","motion_pract","758","arrowright",1,0,0.2,0,"[""white""]",0
5,"男",31,"左","motion_pract","693","arrowright",1,0,0.2,0,"[""white""]",0
5,"男",31,"左","motion_pract","926","arrowright",0,180,0.18,0,"[""white""]",180
5,"男",31,"左","motion_pract","643","arrowright",1,0,0.2,0,"[""white""]",0
5,"男",31,"左","motion_pract","948","arrowleft",1,180,0.2,0,"[""white""]",180
5,"男",31,"左","motion_pract","913","arrowright",1,0,0.2,0,"[""white""]",0
5,"男",31,"左","motion_pract","899","arrowright",1,0,0.2,0,"[""white""]",0
5,"男",31,"左","motion_pract","1305","arrowleft",1,180,0.18,0,"[""white""]",180
5,"男",31,"左","motion_pract","1090","arrowleft",1,180,0.18,0,"[""white""]",180
5,"男",31,"左","motion_pract","951","arrowright",1,0,0.18,0,"[""white""]",0
5,"男",31,"左","motion_pract","853","arrowleft",1,180,0.18,0,"[""white""]",180
5,"男",31,"左","motion_pract","806","arrowright",1,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","1118","arrowleft",1,180,0.16,0,"[""white""]",180
5,"男",31,"左","motion_pract","902","arrowright",1,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","1366","arrowleft",1,180,0.16,0,"[""white""]",180
5,"男",31,"左","motion_pract","850","arrowright",1,0,0.14,0,"[""white""]",0
5,"男",31,"左","motion_pract","668","arrowright",1,0,0.14,0,"[""white""]",0
5,"男",31,"左","motion_pract","882","arrowleft",1,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","772","arrowright",0,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","538","arrowright",1,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","1617","arrowleft",1,180,0.16,0,"[""white""]",180
5,"男",31,"左","motion_pract","692","arrowright",1,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","698","arrowright",1,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","774","arrowleft",1,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","716","arrowright",1,0,0.14,0,"[""white""]",0
5,"男",31,"左","motion_pract","836","arrowleft",1,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","576","arrowright",0,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","1140","arrowright",1,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","1664","arrowleft",0,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","856","arrowleft",1,180,0.18,0,"[""white""]",180
5,"男",31,"左","motion_pract","1140","arrowright",1,0,0.18,0,"[""white""]",0
5,"男",31,"左","motion_pract","815","arrowleft",1,180,0.18,0,"[""white""]",180
5,"男",31,"左","motion_pract","611","arrowright",1,0,0.18,0,"[""white""]",0
5,"男",31,"左","motion_pract","672","arrowleft",1,180,0.16,0,"[""white""]",180
5,"男",31,"左","motion_pract","1267","arrowleft",1,180,0.16,0,"[""white""]",180
5,"男",31,"左","motion_pract","760","arrowright",1,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","639","arrowright",1,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","775","arrowleft",1,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","818","arrowleft",1,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","818","arrowleft",1,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","749","arrowright",1,0,0.14,0,"[""white""]",0
5,"男",31,"左","motion_pract","637","arrowright",1,0,0.12,0,"[""white""]",0
5,"男",31,"左","motion_pract","811","arrowright",1,0,0.12,0,"[""white""]",0
5,"男",31,"左","motion_pract","504","arrowright",0,180,0.12,0,"[""white""]",180
5,"男",31,"左","motion_pract","872","arrowright",0,180,0.14,0,"[""white""]",180
5,"男",31,"左","motion_pract","925","arrowleft",0,0,0.16,0,"[""white""]",0
5,"男",31,"左","motion_pract","743","arrowleft",1,180,0.18,0,"[""white""]",180
5,"男",31,"左","motion_pract","890","arrowright",0,180,0.18,0,"[""white""]",180
5,"男",31,"左","motion_pract","797","arrowright",1,0,0.2,0,"[""white""]",0
5,"男",31,"左","motion_pract","775","arrowright",1,0,0.2,0,"[""white""]",0
5,"男",31,"左","motion_pract","575","arrowleft",0,0,0.2,0,"[""white""]",0
5,"男",31,"左","motion_pract","794","arrowright",0,180,0.22,0,"[""white""]",180
5,"男",31,"左","motion_pract","622","arrowleft",1,180,0.24,0,"[""white""]",180
5,"男",31,"左","motion_pract","767","arrowright",1,0,0.24,0,"[""white""]",0
5,"男",31,"左","motion_pract","743","arrowleft",1,180,0.24,0,"[""white""]",180
5,"男",31,"左","motion_pract","908","arrowright",1,0,0.24,0,"[""white""]",0
5,"男",31,"左","motion_pract","865","arrowright",1,0,0.22,0,"[""white""]",0
