"Participant_ID","Sex","Age","Handedness","part","rt","response","correct","coherent_direction","coherence","target_color_proportion","dot_color_final","coherent_direction.1"
2,"男",23,"右","color_pract","-1","",0,0,0,0.6,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","1165","k",0,0,0,0.62,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","1140","k",0,0,0,0.64,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","989","k",1,0,0,0.66,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","2485","k",0,0,0,0.66,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","2033","k",1,0,0,0.68,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","903","k",0,0,0,0.68,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","2696","k",1,0,0,0.7,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","1295","k",1,0,0,0.7,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","2680","k",0,0,0,0.7,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","1833","k",1,0,0,0.72,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","970","k",0,0,0,0.72,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","1755","d",1,0,0,0.74,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","741","k",1,0,0,0.74,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","781","k",1,0,0,0.74,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","628","d",1,0,0,0.74,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","1051","k",1,0,0,0.72,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","754","d",1,0,0,0.72,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","645","d",1,0,0,0.72,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","692","k",1,0,0,0.72,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","638","k",1,0,0,0.7,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","781","d",1,0,0,0.7,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","777","k",1,0,0,0.7,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","653","d",1,0,0,0.7,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","797","k",1,0,0,0.68,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","566","d",1,0,0,0.68,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","682","k",1,0,0,0.68,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","591","d",1,0,0,0.68,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","1140","k",0,0,0,0.66,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","515","k",1,0,0,0.68,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","575","k",1,0,0,0.68,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
2,"男",23,"右","color_pract","778","d",1,0,0,0.68,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","668","d",1,0,0,0.68,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","989","d",1,0,0,0.66,"[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]",0
2,"男",23,"右","color_pract","615","k",1,0,0,0.66,"[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]",0
