"subj_idx","acc_diff_so_1","acc_diff_so_2","acc_diff_so_3","acc_diff_so_4","rt_diff_os_1","rt_diff_os_2","rt_diff_os_3","rt_diff_os_4"
"21",0.104166666666667,0.125,0.279891304347826,0.229166666666667,54.7708333333335,70.7916666666665,3.90579710144925,-43.6666666666667
"22",-0.0416666666666667,-0.106884057971015,-0.354166666666667,-0.3125,-169.0625,-343.009963768116,-137.645833333333,-52.2916666666665
"23",-0.0208333333333333,-0.0208333333333334,-0.125,-0.0833333333333334,64.3541666666666,13.6041666666665,-83.1250000000002,-11.0625000000002
"24",-0.0208333333333333,0.0416666666666666,-0.125,-0.0090579710144929,-25.6666666666667,27.5,-89.2083333333335,-110.1875
"25",0,0.0416666666666666,0.0543478260869565,0.0615942028985508,-21.125,65.25,89.6911231884055,16.4202898550725
"26",0,-0.0416666666666666,0.145833333333333,-0.0923913043478261,-61.875,-46.3958333333333,-63.0208333333335,65.3442028985507
"27",-0.0625,-0.0416666666666665,0.160326086956522,0.181159420289855,-140.083333333333,-63.4375,76.3396739130435,-58.3125000000002
"28",0.0452898550724637,-0.0323875399962357,-0.239177489177489,0.193581780538302,30.584239130435,-7.6290843214756,-18.2416666666668,-17.942028985507
"29",0.0625,0.208333333333333,0.479166666666667,0.4375,162.229166666667,155.770833333333,37.125,-42.25
"30",-0.0190217391304348,0.186594202898551,0.0969202898550725,0.125,111.976449275362,-27.4501811594205,41.6884057971013,-77.9791666666665
