"subj_idx","acc_diff_so_1","acc_diff_so_2","acc_diff_so_3","acc_diff_so_4","rt_diff_os_1","rt_diff_os_2","rt_diff_os_3","rt_diff_os_4"
"1",-0.229166666666667,-0.270833333333333,-0.22463768115942,-0.125,-594.291666666667,-589.020833333333,-481.682971014493,-267.375
"2",-0.180253623188406,-0.160973084886128,-0.221590909090909,-0.229025503482025,-25.2391304347827,68.789466873706,-336.492424242424,-125.283396856767
"3",0.0208333333333333,0.0625,0.0588768115942029,0.0492659514398643,191.916666666667,125.1875,29.1195652173913,-197.709533220403
"4",0.0624999999999999,-0.129528985507246,-0.068840579710145,-0.140963203463203,67.6458333333333,-172.875,-125.546195652174,36.7362012987014
"5",-0.0235507246376813,0.00205862977602111,-0.182549175970229,-0.159090909090909,-69.268115942029,-104.541007905138,74.4068048910153,-42.6103896103896
"6",-0.0037055335968379,-0.221014492753623,-0.314970355731225,-0.159290890269151,4.5031291172595,-186.124094202899,-35.086791831357,6.04024327122124
"7",-0.246376811594203,-0.215579710144927,-0.264739789196311,-0.327898550724638,-331.601449275362,-172.073369565217,-180.491683135705,-304.557971014493
"8",0.164772727272727,-0.0532773386034255,-0.308876811594203,-0.16798418972332,205.658679183136,48.7960309617915,-54.733695652174,218.677865612648
"9",0.215579710144928,0.148550724637681,0.0608530961791831,-0.0698051948051948,204.140760869565,127.80615942029,142.672101449275,-187.519480519481
"10",-0.0339262187088274,-0.208333333333333,-0.0489130434782609,-0.0624176548089592,-52.1900527009223,-116.373188405797,-94.398550724638,-199.0055171278
"11",0.0634057971014493,-0.0851449275362319,0.0904150197628459,-0.0610177865612648,195.698369565217,-87.5362318840578,-0.23106060606051,-127.027585638999
"12",-0.0727272727272728,-0.20995670995671,-0.0227272727272727,-0.0909090909090908,-86.3340909090909,-133.322510822511,-236.00790513834,-98.75
"13",-0.108695652173913,-0.173913043478261,0.0208333333333333,-0.334782608695652,-88.7563405797102,-242.365036231884,6.83333333333303,-195.775
"14",-0.0253623188405796,-0.0738636363636364,0.0208333333333334,-0.116847826086957,-47.05615942029,108.973484848485,-81.9791666666665,-2.29619565217376
"15",-0.166666666666667,-0.229166666666667,-0.113636363636364,-0.125,-110.770833333333,-167.375,-38.8655303030305,46.1458333333333
