"subj_idx","acc","rt","association","difficulty","isMatch","group"
"6",0.869565217391304,2176.47826086957,"other","4","mismatch","motion"
"6",0.523809523809524,2368.7619047619,"self","4","match","motion"
"6",0.652173913043478,2122.26086956522,"self","4","mismatch","motion"
"7",0.916666666666667,1217.41666666667,"other","1","match","motion"
"7",0.75,1359.25,"other","1","mismatch","motion"
"7",0.434782608695652,1544.78260869565,"self","1","match","motion"
"7",0.739130434782609,1695.08695652174,"self","1","mismatch","motion"
"7",0.833333333333333,1571,"other","2","match","motion"
"7",0.791666666666667,1433.66666666667,"other","2","mismatch","motion"
"7",0.541666666666667,1606.29166666667,"self","2","match","motion"
"7",0.652173913043478,1742.52173913043,"self","2","mismatch","motion"
"7",0.666666666666667,1349.58333333333,"other","3","match","motion"
"7",0.791666666666667,1561.125,"other","3","mismatch","motion"
"7",0.565217391304348,1620.78260869565,"self","3","match","motion"
"7",0.363636363636364,1650.90909090909,"self","3","mismatch","motion"
"7",0.739130434782609,1396.21739130435,"other","4","match","motion"
"7",0.75,1518,"other","4","mismatch","motion"
"7",0.25,1700.16666666667,"self","4","match","motion"
"7",0.583333333333333,1823.16666666667,"self","4","mismatch","motion"
"8",0.625,1973.29166666667,"other","1","match","motion"
"8",0.826086956521739,1672.47826086957,"other","1","mismatch","motion"
"8",0.954545454545455,1452.40909090909,"self","1","match","motion"
"8",0.826086956521739,1782.04347826087,"self","1","mismatch","motion"
"8",0.666666666666667,2045.70833333333,"other","2","match","motion"
"8",0.739130434782609,1756.39130434783,"other","2","mismatch","motion"
"8",0.590909090909091,1843.59090909091,"self","2","match","motion"
"8",0.708333333333333,1860.91666666667,"self","2","mismatch","motion"
"8",0.916666666666667,1758.625,"other","3","match","motion"
"8",0.826086956521739,1870.78260869565,"other","3","mismatch","motion"
"8",0.583333333333333,1826.375,"self","3","match","motion"
"8",0.541666666666667,1912.5,"self","3","mismatch","motion"
"8",0.521739130434783,2134.08695652174,"other","4","match","motion"
"8",0.608695652173913,2091.26086956522,"other","4","mismatch","motion"
"8",0.272727272727273,1800.81818181818,"self","4","match","motion"
"8",0.521739130434783,1987.17391304348,"self","4","mismatch","motion"
"9",0.652173913043478,1995.95652173913,"other","1","match","motion"
"9",0.5,2016.45,"other","1","mismatch","motion"
"9",0.833333333333333,1779.16666666667,"self","1","match","motion"
"9",0.75,1824.95833333333,"self","1","mismatch","motion"
"9",0.583333333333333,2103.70833333333,"other","2","match","motion"
"9",0.652173913043478,1966.86956521739,"other","2","mismatch","motion"
"9",0.782608695652174,1968.17391304348,"self","2","match","motion"
"9",0.75,1846.79166666667,"self","2","mismatch","motion"
"9",0.708333333333333,1930.79166666667,"other","3","match","motion"
"9",0.5,2127.29166666667,"other","3","mismatch","motion"
"9",0.590909090909091,2083,"self","3","match","motion"
"9",0.739130434782609,1689.73913043478,"self","3","mismatch","motion"
"9",0.583333333333333,2140.25,"other","4","match","motion"
"9",0.571428571428571,1915.14285714286,"other","4","mismatch","motion"
"9",0.333333333333333,2274.75,"self","4","match","motion"
"9",0.681818181818182,2155.68181818182,"self","4","mismatch","motion"
"10",0.826086956521739,2015.17391304348,"other","1","match","motion"
"10",0.666666666666667,1847.33333333333,"other","1","mismatch","motion"
"10",0.772727272727273,1981.40909090909,"self","1","match","motion"
"10",0.652173913043478,1985.47826086957,"self","1","mismatch","motion"
"10",0.739130434782609,1869.86956521739,"other","2","match","motion"
"10",0.826086956521739,2120.60869565217,"other","2","mismatch","motion"
"10",0.565217391304348,2146.39130434783,"self","2","match","motion"
"10",0.583333333333333,2076.83333333333,"self","2","mismatch","motion"
"10",0.652173913043478,1892.34782608696,"other","3","match","motion"
"10",0.695652173913043,2024.52173913043,"other","3","mismatch","motion"
"10",0.625,1998.91666666667,"self","3","match","motion"
"10",0.625,2106.75,"self","3","mismatch","motion"
"10",0.583333333333333,2092.20833333333,"other","4","match","motion"
"10",0.521739130434783,1953.34782608696,"other","4","mismatch","motion"
"10",0.434782608695652,2294.52173913043,"self","4","match","motion"
"10",0.545454545454545,2149.04545454545,"self","4","mismatch","motion"
"11",0.791666666666667,1752.25,"other","1","match","motion"
"11",0.869565217391304,1950.21739130435,"other","1","mismatch","motion"
"11",0.91304347826087,1425.69565217391,"self","1","match","motion"
"11",0.875,1885.375,"self","1","mismatch","motion"
"11",0.958333333333333,1815.41666666667,"other","2","match","motion"
"11",0.869565217391304,1832.08695652174,"other","2","mismatch","motion"
"11",0.875,1735.75,"self","2","match","motion"
"11",0.782608695652174,2086.82608695652,"self","2","mismatch","motion"
"11",0.782608695652174,1731,"other","3","match","motion"
"11",0.695652173913043,2094,"other","3","mismatch","motion"
"11",0.75,1820.91666666667,"self","3","match","motion"
"11",0.909090909090909,2004.54545454545,"self","3","mismatch","motion"
"11",0.681818181818182,2035.27272727273,"other","4","match","motion"
"11",0.565217391304348,2243.13043478261,"other","4","mismatch","motion"
"11",0.541666666666667,2229.16666666667,"self","4","match","motion"
