"subj_idx","acc","rt","association","difficulty","isMatch","group"
"27",0.916666666666667,1117.75,"other","2","match","color"
"27",1,1111.79166666667,"other","2","mismatch","color"
"27",0.958333333333333,1067.625,"self","2","match","color"
"27",0.875,1288.79166666667,"self","2","mismatch","color"
"27",0.541666666666667,1354.08333333333,"other","3","match","color"
"27",0.583333333333333,1354,"other","3","mismatch","color"
"27",0.695652173913043,1259.69565217391,"self","3","match","color"
"27",0.75,1295.70833333333,"self","3","mismatch","color"
"27",0.375,1343.70833333333,"other","4","match","color"
"27",0.541666666666667,1288.70833333333,"other","4","mismatch","color"
"27",0.583333333333333,1334.04166666667,"self","4","match","color"
"27",0.695652173913043,1415,"self","4","mismatch","color"
"28",0.869565217391304,2132.26086956522,"other","1","match","color"
"28",0.956521739130435,2072.78260869565,"other","1","mismatch","color"
"28",0.958333333333333,1992.125,"self","1","match","color"
"28",0.958333333333333,2151.75,"self","1","mismatch","color"
"28",0.863636363636364,2121.04545454545,"other","2","match","color"
"28",0.91304347826087,2308.91304347826,"other","2","mismatch","color"
"28",0.761904761904762,2158.66666666667,"self","2","match","color"
"28",0.95,2286.55,"self","2","mismatch","color"
"28",0.619047619047619,2217.80952380952,"other","3","match","color"
"28",0.904761904761905,2417.85714285714,"other","3","mismatch","color"
"28",0.5,2311.15,"self","3","match","color"
"28",0.545454545454545,2361,"self","3","mismatch","color"
"28",0.428571428571429,2499.52380952381,"other","4","match","color"
"28",0.619047619047619,2261.80952380952,"other","4","mismatch","color"
"28",0.695652173913043,2349.08695652174,"self","4","match","color"
"28",0.739130434782609,2448.13043478261,"self","4","mismatch","color"
"29",0.875,1120,"other","1","match","color"
"29",0.916666666666667,1173.79166666667,"other","1","mismatch","color"
"29",1,902.291666666667,"self","1","match","color"
"29",0.916666666666667,1067.04166666667,"self","1","mismatch","color"
"29",0.833333333333333,1285.20833333333,"other","2","match","color"
"29",0.625,1257.91666666667,"other","2","mismatch","color"
"29",0.958333333333333,948.208333333333,"self","2","match","color"
"29",0.916666666666667,1283.375,"self","2","mismatch","color"
"29",0.416666666666667,1343.29166666667,"other","3","match","color"
"29",0.375,1034.375,"other","3","mismatch","color"
"29",0.875,1038.5,"self","3","match","color"
"29",0.875,1264.91666666667,"self","3","mismatch","color"
"29",0.291666666666667,1223.5,"other","4","match","color"
"29",0.416666666666667,1226.75,"other","4","mismatch","color"
"29",0.833333333333333,1170.66666666667,"self","4","match","color"
"29",0.75,1364.08333333333,"self","4","mismatch","color"
"30",0.91304347826087,1044.86956521739,"other","1","match","color"
"30",0.791666666666667,1128.29166666667,"other","1","mismatch","color"
"30",0.875,907.125,"self","1","match","color"
"30",0.791666666666667,1042.08333333333,"self","1","mismatch","color"
"30",0.666666666666667,1153.5,"other","2","match","color"
"30",0.833333333333333,1162.08333333333,"other","2","mismatch","color"
"30",0.956521739130435,1114.60869565217,"self","2","match","color"
"30",0.916666666666667,1255.875,"self","2","mismatch","color"
"30",0.666666666666667,1227.95833333333,"other","3","match","color"
"30",0.708333333333333,1269.33333333333,"other","3","mismatch","color"
"30",0.652173913043478,1212.95652173913,"self","3","match","color"
"30",0.916666666666667,1200.95833333333,"self","3","mismatch","color"
"30",0.375,1310.125,"other","4","match","color"
"30",0.708333333333333,1277.29166666667,"other","4","mismatch","color"
"30",0.666666666666667,1452.83333333333,"self","4","match","color"
"30",0.666666666666667,1290.54166666667,"self","4","mismatch","color"
