"subj_idx","acc_diff_so_1","acc_diff_so_2","acc_diff_so_3","acc_diff_so_4","rt_diff_os_1","rt_diff_os_2","rt_diff_os_3","rt_diff_os_4"
"1",-0.229166666666667,-0.270833333333333,-0.226950354609929,-0.125,-594.291666666667,-589.020833333333,-481.512854609929,-267.375
"2",-0.183067375886525,-0.15715667311412,-0.219202898550725,-0.222222222222222,-26.6272163120566,72.1639264990329,-330.38768115942,-117.933333333333
"3",0.0208333333333334,0.0625,0.0585106382978723,0.0490394337714863,191.916666666667,125.1875,28.1662234042553,-198.884732052578
"4",0.0625,-0.12854609929078,-0.0684551341350601,-0.144444444444444,67.6458333333333,-172.761081560284,-127.993061979648,34.6072463768119
"5",-0.0221631205673759,0.00231267345050878,-0.183974358974359,-0.1578073089701,-66.4822695035459,-98.8122109158187,60.498717948718,-41.3067552602438
"6",-0.00472813238770686,-0.220629047178538,-0.314893617021277,-0.153771760154739,4.53380614657203,-186.567992599445,-32.7579196217494,13.2398452611219
"7",-0.246376811594203,-0.216755319148936,-0.2625,-0.328014184397163,-331.601449275362,-170.624113475177,-180.156944444444,-303.262411347518
"8",0.16548463356974,-0.0499537465309898,-0.309840425531915,-0.165217391304348,205.19621749409,51.4972247918593,-55.9268617021276,216.607246376812
"9",0.210271317829457,0.148936170212766,0.0625,-0.0777777777777777,203.425872093023,130.553191489362,147.041666666667,-182.604347826087
"10",-0.0335697399527186,-0.208140610545791,-0.0489130434782609,-0.0643026004728133,-54.0208037825059,-115.633209990749,-94.3985507246377,-199.144680851064
"11",0.0638297872340425,-0.0851063829787234,0.0869565217391305,-0.0597222222222222,188.702127659574,-83.9787234042553,3.76086956521749,-124.718055555556
"12",-0.0714285714285714,-0.20995670995671,-0.0222222222222223,-0.0909090909090909,-82.0357142857142,-133.322510822511,-231.844444444445,-98.75
"13",-0.108599290780142,-0.173758865248227,0.0208333333333334,-0.332659251769464,-88.9020390070923,-243.844858156029,6.83333333333348,-204.767947421638
"14",-0.0248226950354611,-0.0706521739130435,0.0208333333333334,-0.117946345975948,-46.0195035460993,108.332427536232,-81.9791666666665,-0.931544865864907
"15",-0.166666666666667,-0.229166666666667,-0.108695652173913,-0.125,-110.770833333333,-167.375,-37.5751811594203,46.1458333333335
