"subj_idx","acc_diff_so_1","acc_diff_so_2","acc_diff_so_3","acc_diff_so_4","rt_diff_os_1","rt_diff_os_2","rt_diff_os_3","rt_diff_os_4"
"1",-0.25,-0.166666666666667,-0.166666666666667,0.0833333333333333,-254,-95.7083333333334,-105.75,-174.958333333333
"2",-0.125,-0.25,0.0416666666666666,-0.208333333333333,-123.041666666667,61.3333333333334,103.25,37.4166666666667
"3",-0.166666666666667,-0.0416666666666666,0.0416666666666666,0.166666666666667,-23.9166666666666,7.625,36.125,-17.2916666666666
"4",-0.0416666666666667,-0.0833333333333333,0.0833333333333333,-0.0416666666666666,24.7499999999999,-4.08333333333348,-84.625,-43.9583333333333
"5",-0.0416666666666666,-0.0416666666666666,-0.291666666666667,-0.333333333333333,-136.208333333333,-131.166666666667,-135,-355.791666666667
"6",0,-0.333333333333333,-0.25,-0.0833333333333334,-2.04166666666663,-77.9583333333334,-38.2916666666666,-60.5416666666667
"7",-0.217391304347826,-0.458333333333333,-0.313405797101449,-0.0434782608695652,-29,-11.1666666666667,-53.1050724637681,-3.13043478260863
"8",0.0833333333333334,0.0833333333333333,0.166666666666667,-0.125,69.75,139.125,-29.125,-73.5
"9",0.166666666666667,0.0416666666666666,0.208333333333333,0.110507246376812,12.5,156.25,-93.5833333333334,-2.94021739130437
"10",-0.0416666666666666,-0.0416666666666666,0.0833333333333334,-0.333333333333333,-149.333333333333,-43.5833333333333,-11.6666666666666,-9
"11",-0.208333333333333,-0.0833333333333334,0.0869565217391304,0.136363636363636,-83.875,-63.2916666666666,4.04347826086951,-7.0795454545455
"12",0.291666666666667,-0.0833333333333334,0,-0.291666666666667,-98.6666666666667,-22.25,67.125,-57.125
"13",0.0833333333333334,-0.282608695652174,-0.166666666666667,-0.0416666666666667,-32.3333333333333,-53.3913043478261,-21.25,-75.75
"14",0.125,0,-0.333333333333333,-0.208333333333333,161.833333333333,71.125,-3.33333333333337,-4.45833333333337
"15",-0.0833333333333333,-0.0416666666666666,0.0833333333333333,0.25,-39.1666666666666,11.625,-55.25,-19.5416666666666
