"subj_idx","acc_diff_so_1","acc_diff_so_2","acc_diff_so_3","acc_diff_so_4","rt_diff_os_1","rt_diff_os_2","rt_diff_os_3","rt_diff_os_4"
"21",0,0,0.333333333333333,0.25,131.125,181.333333333333,103.958333333333,-5
"22",-0.166666666666667,-0.125,-0.25,-0.416666666666667,-129.208333333333,-169.375,-40.625,34.2916666666667
"23",0.166666666666667,0.166666666666667,0.208333333333333,0.125,158.5,114.291666666667,133.75,41
"24",0.0416666666666666,0.0535714285714286,0.367424242424242,0.291666666666667,45.7916666666667,92.1130952380954,222.522727272727,32.875
"25",-0.0416666666666666,-0.0416666666666666,-0.125,0.125,39.7916666666667,27.9166666666665,-122.916666666667,-55.5416666666667
"26",0.0833333333333334,0,0.125,0.166666666666667,49.7916666666667,90.0833333333333,26.0833333333333,-48.5
"27",0.0416666666666666,0.0833333333333334,0.291666666666667,0.125,-24.8333333333333,71.875,-87.375,-56.5
"28",-0.0833333333333334,-0.125,0.0416666666666666,0.0543478260869565,20.0869565217392,-100.416666666667,-139.208333333333,9.02898550724626
"29",0.0416666666666667,0.13768115942029,0.291666666666667,0.278985507246377,92.5,88.8894927536231,25.0833333333334,77.2373188405796
"30",-0.0833333333333334,0.0833333333333333,-0.25,-0.0416666666666666,6,91.4583333333333,66.5416666666666,28.7916666666667
