"subj_idx","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","coherence","isMatch","association","difficulty","dot_color_final","target_color_proportion"
12,"女",24,"右","都不是","match_RDK","1829","f","true",180,0.07,"match","other",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2064","j","true",180,0.07,"mismatch","other",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2351","j","false",0,0.12,"match","self",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2219","f","false",0,0.12,"mismatch","self",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2878","j","true",0,0.07,"mismatch","self",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2379","f","false",180,0.01,"mismatch","other",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2280","j","false",180,0.12,"match","other",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1524","f","true",0,0.07,"match","self",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2857","j","false",180,0.07,"match","other",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2858","f","false",180,0.12,"mismatch","other",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","-1","","false",180,0.07,"mismatch","other",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1383","f","true",0,0.07,"match","self",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2750","f","false",0,0.07,"mismatch","self",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2681","j","true",0,0.01,"mismatch","self",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2643","f","true",0,0.01,"match","self",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1178","f","true",180,0.01,"match","other",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2383","j","true",180,0.12,"mismatch","other",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2975","j","false",180,0.07,"match","other",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2357","j","true",180,0.01,"mismatch","other",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2865","j","true",180,0.07,"mismatch","other",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1948","f","true",0,0.07,"match","self",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2628","f","true",0,0.12,"match","self",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1535","f","true",180,0.07,"match","other",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","-1","","false",0,0.07,"match","self",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1737","f","false",180,0.07,"mismatch","other",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2039","j","true",0,0.07,"mismatch","self",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2925","f","true",180,0.12,"match","other",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1605","j","true",0,0.01,"mismatch","self",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2839","j","false",180,0.01,"match","other",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1596","f","true",0,0.01,"match","self",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2703","j","true",0,0.07,"mismatch","self",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1832","f","false",0,0.12,"mismatch","self",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2004","j","true",180,0.12,"mismatch","other",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2296","f","false",180,0.07,"mismatch","other",2,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2371","j","false",0,0.07,"match","self",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2349","f","false",180,0.01,"mismatch","other",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2958","j","false",0,0.01,"match","self",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2454","j","false",180,0.12,"match","other",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1948","j","false",0,0.12,"match","self",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2045","f","false",180,0.07,"mismatch","other",3,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2130","f","false",0,0.12,"mismatch","self",1,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","2396","j","true",0,0.01,"mismatch","self",4,"[""white""]",0
12,"女",24,"右","都不是","match_RDK","1661","j","false",0,0.07,"match","self",2,"[""white""]",0
