"subj_idx","part","difficulty","association","rt","acc","group"
7,"RDK",2,"self",611.208333333333,0.5,"motion"
7,"RDK",3,"other",631.416666666667,0.791666666666667,"motion"
7,"RDK",3,"self",684.521739130435,0.478260869565217,"motion"
7,"RDK",4,"other",643.826086956522,0.521739130434783,"motion"
7,"RDK",4,"self",646.95652173913,0.478260869565217,"motion"
7,"match_RDK",1,"other",1288.33333333333,0.833333333333333,"motion"
7,"match_RDK",1,"self",1619.9347826087,0.58695652173913,"motion"
7,"match_RDK",2,"other",1502.33333333333,0.8125,"motion"
7,"match_RDK",2,"self",1672.95744680851,0.595744680851064,"motion"
7,"match_RDK",3,"other",1455.35416666667,0.729166666666667,"motion"
7,"match_RDK",3,"self",1635.51111111111,0.466666666666667,"motion"
7,"match_RDK",4,"other",1458.40425531915,0.74468085106383,"motion"
7,"match_RDK",4,"self",1761.66666666667,0.416666666666667,"motion"
8,"RDK",1,"other",764.541666666667,0.75,"motion"
8,"RDK",1,"self",694.791666666667,0.833333333333333,"motion"
8,"RDK",2,"other",799.083333333333,0.708333333333333,"motion"
8,"RDK",2,"self",659.958333333333,0.791666666666667,"motion"
8,"RDK",3,"other",740.166666666667,0.625,"motion"
8,"RDK",3,"self",769.291666666667,0.791666666666667,"motion"
8,"RDK",4,"other",760.833333333333,0.583333333333333,"motion"
8,"RDK",4,"self",834.333333333333,0.458333333333333,"motion"
8,"match_RDK",1,"other",1826.08510638298,0.723404255319149,"motion"
8,"match_RDK",1,"self",1620.88888888889,0.888888888888889,"motion"
8,"match_RDK",2,"other",1904.12765957447,0.702127659574468,"motion"
8,"match_RDK",2,"self",1852.63043478261,0.652173913043478,"motion"
8,"match_RDK",3,"other",1813.51063829787,0.872340425531915,"motion"
8,"match_RDK",3,"self",1869.4375,0.5625,"motion"
8,"match_RDK",4,"other",2112.67391304348,0.565217391304348,"motion"
8,"match_RDK",4,"self",1896.06666666667,0.4,"motion"
9,"RDK",1,"other",853.666666666667,0.625,"motion"
9,"RDK",1,"self",841.166666666667,0.791666666666667,"motion"
9,"RDK",2,"other",986.166666666667,0.708333333333333,"motion"
9,"RDK",2,"self",829.916666666667,0.75,"motion"
9,"RDK",3,"other",816.416666666667,0.583333333333333,"motion"
9,"RDK",3,"self",910,0.791666666666667,"motion"
9,"RDK",4,"other",909.625,0.541666666666667,"motion"
9,"RDK",4,"self",912.565217391304,0.652173913043478,"motion"
9,"match_RDK",1,"other",2005.48837209302,0.581395348837209,"motion"
9,"match_RDK",1,"self",1802.0625,0.791666666666667,"motion"
9,"match_RDK",2,"other",2036.74468085106,0.617021276595745,"motion"
9,"match_RDK",2,"self",1906.1914893617,0.765957446808511,"motion"
9,"match_RDK",3,"other",2029.04166666667,0.604166666666667,"motion"
9,"match_RDK",3,"self",1882,0.666666666666667,"motion"
9,"match_RDK",4,"other",2035.2,0.577777777777778,"motion"
9,"match_RDK",4,"self",2217.80434782609,0.5,"motion"
10,"RDK",1,"other",888.583333333333,0.75,"motion"
10,"RDK",1,"self",1037.91666666667,0.708333333333333,"motion"
10,"RDK",2,"other",956.333333333333,0.666666666666667,"motion"
10,"RDK",2,"self",999.916666666667,0.625,"motion"
10,"RDK",3,"other",984.625,0.625,"motion"
10,"RDK",3,"self",996.291666666667,0.708333333333333,"motion"
10,"RDK",4,"other",952.833333333333,0.75,"motion"
10,"RDK",4,"self",961.833333333333,0.416666666666667,"motion"
10,"match_RDK",1,"other",1929.46808510638,0.74468085106383,"motion"
10,"match_RDK",1,"self",1983.48888888889,0.711111111111111,"motion"
10,"match_RDK",2,"other",1995.23913043478,0.782608695652174,"motion"
10,"match_RDK",2,"self",2110.87234042553,0.574468085106383,"motion"
10,"match_RDK",3,"other",1958.4347826087,0.673913043478261,"motion"
10,"match_RDK",3,"self",2052.83333333333,0.625,"motion"
10,"match_RDK",4,"other",2024.25531914894,0.553191489361702,"motion"
10,"match_RDK",4,"self",2223.4,0.488888888888889,"motion"
11,"RDK",1,"other",720.083333333333,0.916666666666667,"motion"
11,"RDK",1,"self",803.958333333333,0.708333333333333,"motion"
11,"RDK",2,"other",787.958333333333,0.75,"motion"
11,"RDK",2,"self",851.25,0.666666666666667,"motion"
11,"RDK",3,"other",778.260869565217,0.608695652173913,"motion"
11,"RDK",3,"self",774.217391304348,0.695652173913043,"motion"
11,"RDK",4,"other",807.875,0.5,"motion"
11,"RDK",4,"self",814.954545454545,0.636363636363636,"motion"
11,"match_RDK",1,"other",1849.12765957447,0.829787234042553,"motion"
11,"match_RDK",1,"self",1660.42553191489,0.893617021276596,"motion"
11,"match_RDK",2,"other",1823.57446808511,0.914893617021277,"motion"
11,"match_RDK",2,"self",1907.55319148936,0.829787234042553,"motion"
11,"match_RDK",3,"other",1912.5,0.739130434782609,"motion"
11,"match_RDK",3,"self",1908.73913043478,0.826086956521739,"motion"
11,"match_RDK",4,"other",2141.51111111111,0.622222222222222,"motion"
