"subj_idx","acc_diff_so_1","acc_diff_so_2","acc_diff_so_3","acc_diff_so_4","rt_diff_os_1","rt_diff_os_2","rt_diff_os_3","rt_diff_os_4"
"21",0.104166666666667,0.125,0.281028368794326,0.229166666666667,54.7708333333333,70.7916666666667,5.71409574468089,-43.6666666666665
"22",-0.0416666666666666,-0.107712765957447,-0.354166666666667,-0.3125,-169.0625,-343.722074468085,-137.645833333333,-52.2916666666667
"23",-0.0208333333333334,-0.0208333333333334,-0.125,-0.0833333333333333,64.3541666666666,13.6041666666667,-83.125,-11.0625
"24",-0.0208333333333334,0.0416666666666667,-0.125,-0.00842198581560283,-25.6666666666667,27.5,-89.2083333333333,-110.476507092199
"25",0,0.0416666666666666,0.0543478260869565,0.0638297872340425,-21.125,65.25,89.691123188406,17.0851063829789
"26",0,-0.0416666666666667,0.145833333333333,-0.0926418439716312,-61.875,-46.3958333333335,-63.0208333333333,66.0913120567375
"27",-0.0625,-0.0416666666666667,0.160904255319149,0.179964539007092,-140.083333333333,-63.4375,75.9565602836881,-57.4512411347519
"28",0.0452898550724639,-0.035230352303523,-0.238095238095238,0.193581780538302,30.584239130435,-3.98211382113823,-19.4285714285711,-17.9420289855075
"29",0.0625,0.208333333333333,0.479166666666667,0.4375,162.229166666667,155.770833333333,37.125,-42.25
"30",-0.0177304964539007,0.186170212765957,0.0997340425531915,0.125,112.863918439716,-28.953014184397,41.8160460992908,-77.9791666666667
