"subj_idx","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","coherence","isMatch","association","difficulty","dot_color_final","target_color_proportion"
2,"女",22,"右","都不是","match_RDK","1748","f","true",180,0.12,"match","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2006","j","true",180,0.05,"mismatch","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1970","j","true",0,0.05,"mismatch","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2157","f","true",180,0.08,"match","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2027","f","true",180,0.05,"match","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2294","f","false",0,0.08,"mismatch","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2065","j","true",180,0.12,"mismatch","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1916","f","true",180,0.09,"match","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2397","j","true",180,0.08,"mismatch","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2447","j","true",0,0.09,"mismatch","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1921","f","true",0,0.08,"match","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1427","f","true",0,0.12,"match","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2212","f","true",0,0.09,"match","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1700","j","true",0,0.12,"mismatch","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2413","f","false",180,0.09,"mismatch","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1835","f","true",0,0.05,"match","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1668","j","true",180,0.09,"mismatch","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1657","f","true",0,0.12,"match","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1808","f","true",0,0.08,"match","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1921","f","false",0,0.05,"mismatch","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1977","j","true",0,0.09,"mismatch","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1708","j","true",180,0.08,"mismatch","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1636","f","true",180,0.08,"match","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1898","f","true",0,0.09,"match","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1748","f","true",180,0.12,"match","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1811","f","true",180,0.05,"match","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1152","j","true",0,0.12,"mismatch","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2301","f","false",0,0.08,"mismatch","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2302","j","true",180,0.05,"mismatch","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2847","f","true",180,0.09,"match","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2437","f","true",0,0.05,"match","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2108","f","false",180,0.12,"mismatch","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2153","j","true",0,0.12,"mismatch","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2791","f","false",0,0.05,"mismatch","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2141","j","true",0,0.08,"mismatch","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2734","j","true",180,0.12,"mismatch","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2751","j","true",180,0.09,"mismatch","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","-1","","false",180,0.05,"mismatch","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1942","f","true",180,0.09,"match","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1843","f","true",180,0.05,"match","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2595","f","false",180,0.08,"mismatch","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2305","f","true",0,0.08,"match","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1445","j","false",0,0.05,"match","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2218","f","true",180,0.08,"match","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2522","j","false",0,0.12,"match","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1182","f","true",0,0.09,"match","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1558","j","true",0,0.09,"mismatch","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1950","f","true",180,0.12,"match","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1733","j","true",180,0.08,"mismatch","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1293","j","true",0,0.12,"mismatch","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2586","j","true",0,0.09,"mismatch","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2329","f","true",180,0.09,"match","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2705","j","false",0,0.05,"match","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2494","f","true",0,0.09,"match","other",2,"[""white""]",0
