"subj_id","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","coherence","isMatch","association","difficulty","dot_color_final","target_color_proportion"
"9","女",23,"右","都不是","match_RDK","-1","",0,180,0.03,"match","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2470","f",0,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1873","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2134","f",1,0,0.03,"match","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2972","j",1,0,0.08,"mismatch","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.03,"mismatch","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1898","f",1,0,0.11,"match","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2268","f",1,180,0.08,"match","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2066","f",1,0,0.08,"match","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1722","f",1,180,0.11,"match","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2500","f",1,0,0.08,"match","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,180,0.03,"mismatch","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2532","j",1,0,0.11,"mismatch","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2094","j",0,180,0.08,"match","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1670","f",1,0,0.11,"match","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2082","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2268","j",0,180,0.03,"match","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2496","j",1,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2699","f",0,0,0.03,"mismatch","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1756","f",1,0,0.03,"match","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2054","f",1,0,0.03,"match","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.08,"mismatch","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2984","j",0,180,0.03,"match","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2366","j",1,180,0.08,"mismatch","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.03,"mismatch","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1827","f",1,0,0.08,"match","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2345","f",1,180,0.03,"match","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2856","f",0,0,0.03,"mismatch","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2182","j",1,0,0.11,"mismatch","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2251","j",1,180,0.03,"mismatch","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.03,"mismatch","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1636","j",1,180,0.08,"mismatch","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2337","j",1,0,0.08,"mismatch","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2194","f",1,0,0.03,"match","self","4","[""white""]",0
