"success","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","response","stimulus","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","coherent_direction","coherence","opposite_coherence","dot_radius","dot_side_length","dot_life","move_distance","aperture_width","aperture_height","dot_color","dot_color_final","color_change_delay","target_color_proportion","motion_change_delay","dot_shape","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","task","correct_responce","revs","correctNum","totalTrials","proportionColor","proportionMotion","data_label"
"","null","fixation","html-keyboard-response","1488","1660907","0.0-0.0-3.0-1.0-0.0-0.0-0.6","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1580","color_pract","rdk","1489","1662488","0.0-0.0-3.0-1.0-0.0-0.0-1.6","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","8.363427336764667","0.58","0","circle","black","3","2","2","16.680851063829788","[23,2,17,17,17,17,17,17,16,17,17,16,17,17,17,17,17,17,17,17,16,17,17,16,17,16,17,17,17,16,17,17,16,17,17,16,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,16,18,16,16,17,16,17,17,18,15,18,16,17,17,17,17,17,17,21,12,17,21,12,17,16,17,22,11,16,17,17,17,17,16,16]","94","674","364.5","false","20","20","black","1","false","1","1","1398","874","rdk","k","","","","0.58","0.16000000000000006",""
"","null","","html-keyboard-response","1490","1662991","0.0-0.0-3.0-1.0-0.0-0.0-2.6","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","1491","1663495","0.0-0.0-3.0-1.0-0.0-0.0-0.7","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1240","color_pract","rdk","1492","1664737","0.0-0.0-3.0-1.0-0.0-0.0-1.7","d","","false","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","8.363427336764667","0.58","0","circle","black","3","2","2","16.626666666666665","[16,5,18,15,17,17,16,17,17,17,16,17,17,17,16,17,17,17,16,17,17,16,16,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,18,15,17,17,17,17,16,16,17,17,17,17,17,17,18,16,17,19,14,17,17,17,16,21,24,8,14,17]","75","674","364.5","false","20","20","black","1","false","1","1","1398","874","rdk","k","","","","0.58","0.16000000000000006",""
"","null","","html-keyboard-response","1493","1665240","0.0-0.0-3.0-1.0-0.0-0.0-2.7","null","<p style='font-size: 60px; color: red'>错误!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","1494","1665750","0.0-0.0-3.0-1.0-0.0-0.0-0.8","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1035","color_pract","rdk","1495","1666787","0.0-0.0-3.0-1.0-0.0-0.0-1.8","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","8.363427336764667","0.6","0","circle","black","3","2","2","16.741935483870968","[15,17,17,17,17,16,17,16,17,17,17,17,17,17,17,16,17,17,17,16,17,17,17,16,17,16,17,17,16,17,17,17,17,17,16,17,17,16,17,17,17,17,26,7,17,16,17,17,17,17,17,17,16,17,17,17,17,17,16,16,18,16]","62","674","364.5","false","20","20","black","1","false","1","1","1398","874","rdk","k","","","","0.6","0.16000000000000006",""
"","null","","html-keyboard-response","1496","1667291","0.0-0.0-3.0-1.0-0.0-0.0-2.8","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","1497","1667793","0.0-0.0-3.0-1.0-0.0-0.0-0.9","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","848","color_pract","rdk","1498","1668642","0.0-0.0-3.0-1.0-0.0-0.0-1.9","d","","true","[""d"",""k""]","d","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","8.363427336764667","0.6","0","circle","black","3","2","2","16.529411764705884","[9,22,8,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,17,17,16,17,15,16,17,17,17,17,17,17,17,16,17,17,17,17,16,16,17,17,17,17,17,17,16,17,17,16,16,17,17]","51","674","364.5","false","20","20","black","1","false","1","1","1398","874","rdk","d","","","","0.6","0.16000000000000006",""
"","null","","html-keyboard-response","1499","1669150","0.0-0.0-3.0-1.0-0.0-0.0-2.9","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","1500","1669656","0.0-0.0-3.0-1.0-0.0-0.0-0.10","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","925","color_pract","rdk","1501","1670582","0.0-0.0-3.0-1.0-0.0-0.0-1.10","d","","true","[""d"",""k""]","d","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","8.363427336764667","0.6","0","circle","black","3","2","2","16.745454545454546","[10,16,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,16,17,16,17,17,16,17]","55","674","364.5","false","20","20","black","1","false","1","1","1398","874","rdk","d","","","","0.6","0.16000000000000006",""
"","null","","html-keyboard-response","1502","1671083","0.0-0.0-3.0-1.0-0.0-0.0-2.10","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","1503","1671590","0.0-0.0-3.0-1.0-0.0-0.0-0.11","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1056","color_pract","rdk","1504","1672647","0.0-0.0-3.0-1.0-0.0-0.0-1.11","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","8.363427336764667","0.6","0","circle","black","3","2","2","16.714285714285715","[9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,16,16,16,17,17,17,16,17,17,17,17,16,18,16,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,16,18,17,16,17,17,16,17]","63","674","364.5","false","20","20","black","1","false","1","1","1398","874","rdk","k","","","","0.6","0.16000000000000006",""
