"Participant_ID","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","match","association","difficulty"
"Exp1A_6","女",19,"右","都不是","match_RDK","1339","f","true","yes","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1301","j","true","no","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1039","j","true","no","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","932","f","true","yes","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1116","f","true","yes","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1648","j","true","no","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1228","f","true","yes","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1273","j","true","no","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1111","j","true","no","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1111","j","true","no","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","986","f","true","yes","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1154","f","true","yes","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1442","f","true","yes","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","855","f","true","yes","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1430","j","true","no","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1433","j","true","no","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1280","j","true","no","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1483","f","true","yes","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","912","f","true","yes","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1081","j","true","no","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1485","j","true","no","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1793","j","true","no","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","826","f","true","yes","self",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1591","f","true","yes","other",""
"Exp1A_6","女",19,"右","都不是","match_RDK","1015","j","true","no","other",""
