"Participant_ID" "part" "difficulty" "target_color_proportion" "avg_rt" "max_rt" "min_rt" "sd_rt" "all_count" "row_count" "correct_count" "acc" "subject_id"
4 "color_formal" "hard_formal" 0.5625 1089.54166666667 1733 733 269.298118168834 24 24 16 0.666666666666667 "4"
4 "color_formal" "hard_formal" 0.570625 1023.83333333333 1517 765 187.037468152116 24 24 17 0.708333333333333 "4"
4 "color_formal" "hard_formal" 0.575625 858.916666666667 1371 583 186.672211356575 24 24 16 0.666666666666667 "4"
4 "color_formal" "hard_formal" 0.599375 1066.91666666667 1606 715 225.525650072402 24 24 22 0.916666666666667 "4"
4 "color_formal" "hard_formal" 0.62625 1033.5 1553 789 191.400331652068 24 24 23 0.958333333333333 "4"
4 "color_formal" "hard_formal" 0.65 919.166666666667 1261 704 145.260086581357 24 24 22 0.916666666666667 "4"
4 "color_formal" "hard_formal" 0.68 1021.38095238095 1568 744 199.745457067358 21 21 21 1 "4"
5 "color_formal" "easy_formal" 0.6025 945.875 1495 594 260.216350203141 24 24 22 0.916666666666667 "5"
5 "color_formal" "easy_formal" 0.61125 883.041666666667 1489 648 214.936690206911 24 24 22 0.916666666666667 "5"
5 "color_formal" "easy_formal" 0.616875 793.375 1011 602 109.829042052915 24 24 21 0.875 "5"
5 "color_formal" "easy_formal" 0.619375 735.083333333333 1138 459 157.741648071243 24 24 20 0.833333333333333 "5"
5 "color_formal" "easy_formal" 0.628125 822.083333333333 1465 576 190.514844033481 24 24 22 0.916666666666667 "5"
5 "color_formal" "easy_formal" 0.63375 773.541666666667 1282 493 191.700622386023 24 24 21 0.875 "5"
5 "color_formal" "easy_formal" 0.63625 715.583333333333 1091 451 171.502545719898 24 24 20 0.833333333333333 "5"
5 "color_formal" "easy_formal" 0.648125 807 1103 512 154.274177162383 24 24 23 0.958333333333333 "5"
5 "color_formal" "easy_formal" 0.66 754.083333333333 955 498 113.961059965261 24 24 23 0.958333333333333 "5"
5 "color_formal" "easy_formal" 0.72 693.666666666667 869 560 82.351139305583 24 24 22 0.916666666666667 "5"
5 "color_formal" "hard_formal" 0.53625 900.404255319149 1433 612 195.63760414453 47 47 32 0.680851063829787 "5"
5 "color_formal" "hard_formal" 0.536875 933.291666666667 1326 682 190.89662104798 24 24 14 0.583333333333333 "5"
5 "color_formal" "hard_formal" 0.538125 1069.41666666667 2266 628 337.180240365229 24 24 15 0.625 "5"
5 "color_formal" "hard_formal" 0.540625 845.95652173913 1599 543 234.258885202766 23 23 8 0.347826086956522 "5"
5 "color_formal" "hard_formal" 0.54125 822.565217391304 1194 616 139.073174358274 23 23 15 0.652173913043478 "5"
5 "color_formal" "hard_formal" 0.541875 826.083333333333 1350 594 205.987740594828 24 24 16 0.666666666666667 "5"
5 "color_formal" "hard_formal" 0.543125 897.75 1636 658 245.064543405982 24 24 15 0.625 "5"
5 "color_formal" "hard_formal" 0.55 1038.75 2278 644 420.874684437066 24 24 17 0.708333333333333 "5"
5 "color_formal" "hard_formal" 0.560625 849.75 1270 659 147.385991311191 24 24 20 0.833333333333333 "5"
