"Participant_ID" "judge_type" "difficulty" "coherence" "target_color_proportion" "trial_num"
1 "color" "easy_formal" 0 0.6475 147
1 "color" "easy_formal" 0 0.6475 148
1 "color" "easy_formal" 0 0.6475 149
1 "color" "easy_formal" 0 0.6475 150
1 "color" "easy_formal" 0 0.6475 151
1 "color" "easy_formal" 0 0.6475 152
1 "color" "easy_formal" 0 0.6475 153
1 "color" "easy_formal" 0 0.6475 154
1 "color" "easy_formal" 0 0.6475 155
1 "color" "easy_formal" 0 0.6475 156
1 "color" "easy_formal" 0 0.6475 157
1 "color" "easy_formal" 0 0.6475 158
1 "color" "easy_formal" 0 0.6475 159
1 "color" "easy_formal" 0 0.6475 160
1 "color" "easy_formal" 0 0.6475 161
1 "color" "easy_formal" 0 0.6475 162
1 "color" "easy_formal" 0 0.6475 163
1 "color" "easy_formal" 0 0.6475 164
1 "color" "easy_formal" 0 0.6475 165
1 "color" "easy_formal" 0 0.6475 166
1 "color" "easy_formal" 0 0.6475 167
1 "color" "easy_formal" 0 0.6575 168
1 "color" "easy_formal" 0 0.6575 169
1 "color" "easy_formal" 0 0.6575 170
1 "color" "easy_formal" 0 0.6575 171
1 "color" "easy_formal" 0 0.6575 172
1 "color" "easy_formal" 0 0.6575 173
1 "color" "easy_formal" 0 0.6575 174
1 "color" "easy_formal" 0 0.6575 175
1 "color" "easy_formal" 0 0.6575 176
1 "color" "easy_formal" 0 0.6575 177
1 "color" "easy_formal" 0 0.6575 178
1 "color" "easy_formal" 0 0.6575 179
1 "color" "easy_formal" 0 0.6575 180
1 "color" "easy_formal" 0 0.6575 181
1 "color" "easy_formal" 0 0.6575 182
1 "color" "easy_formal" 0 0.6575 183
1 "color" "easy_formal" 0 0.6575 184
1 "color" "easy_formal" 0 0.6575 185
1 "color" "easy_formal" 0 0.6575 186
1 "color" "easy_formal" 0 0.6575 187
1 "color" "easy_formal" 0 0.6575 188
1 "color" "easy_formal" 0 0.6575 189
1 "color" "easy_formal" 0 0.6575 190
1 "color" "easy_formal" 0 0.6575 191
1 "color" "easy_formal" 0 0.645625 192
1 "color" "easy_formal" 0 0.645625 193
1 "color" "easy_formal" 0 0.645625 194
1 "color" "easy_formal" 0 0.645625 195
1 "color" "easy_formal" 0 0.645625 196
1 "color" "easy_formal" 0 0.645625 197
1 "color" "easy_formal" 0 0.645625 198
1 "color" "easy_formal" 0 0.645625 199
1 "color" "easy_formal" 0 0.645625 200
1 "color" "easy_formal" 0 0.645625 201
1 "color" "easy_formal" 0 0.645625 202
1 "color" "easy_formal" 0 0.645625 203
1 "color" "easy_formal" 0 0.645625 204
1 "color" "easy_formal" 0 0.645625 205
1 "color" "easy_formal" 0 0.645625 206
1 "color" "easy_formal" 0 0.645625 207
1 "color" "easy_formal" 0 0.645625 208
1 "color" "easy_formal" 0 0.645625 209
1 "color" "easy_formal" 0 0.645625 210
1 "color" "easy_formal" 0 0.645625 211
1 "color" "easy_formal" 0 0.645625 212
1 "color" "easy_formal" 0 0.645625 213
1 "color" "easy_formal" 0 0.645625 214
1 "color" "easy_formal" 0 0.645625 215
1 "color" "easy_formal" 0 0.64 216
1 "color" "easy_formal" 0 0.64 217
1 "color" "easy_formal" 0 0.64 218
1 "color" "easy_formal" 0 0.64 219
1 "color" "easy_formal" 0 0.64 220
1 "color" "easy_formal" 0 0.64 221
1 "color" "easy_formal" 0 0.64 222
1 "color" "easy_formal" 0 0.64 223
1 "color" "easy_formal" 0 0.64 224
1 "color" "easy_formal" 0 0.64 225
1 "color" "easy_formal" 0 0.64 226
1 "color" "easy_formal" 0 0.64 227
1 "color" "easy_formal" 0 0.64 228
1 "color" "easy_formal" 0 0.64 229
1 "color" "easy_formal" 0 0.64 230
1 "color" "easy_formal" 0 0.64 231
1 "color" "easy_formal" 0 0.64 232
1 "color" "easy_formal" 0 0.64 233
1 "color" "easy_formal" 0 0.64 234
1 "color" "easy_formal" 0 0.64 235
1 "color" "easy_formal" 0 0.64 236
1 "color" "easy_formal" 0 0.64 237
1 "color" "easy_formal" 0 0.64 238
1 "color" "easy_formal" 0 0.64 239
1 "color" "easy_formal" 0 0.52 240
1 "color" "hard_formal" 0 0.52 1
1 "color" "hard_formal" 0 0.52 2
1 "color" "hard_formal" 0 0.52 3
1 "color" "hard_formal" 0 0.52 4
